sample_second,track_id,zone_id,foot_x_px,foot_y_px,ground_x_m,ground_y_m,velocity_x_m_s,velocity_y_m_s,speed_m_s,pixel_projected_zone_1s,ground_projected_zone_1s,confidence,tracking_state
0.2,8,5,1647.5,1080.0,20.263939,8.052707,-0.006328,-0.144244,0.144383,5,5,0.7308,detected
0.2,9,1,1496.5,187.0,53.85236,19.460954,0.183011,-0.438221,0.4749,1,1,0.8358,detected
0.2,10,2,1836.0,352.0,43.691138,10.78179,4.955887,0.662711,5.0,2,2,0.8029,detected
0.2,11,1,1387.0,125.0,59.296787,23.766031,2.806735,-0.465238,2.845032,1,1,0.7046,detected
0.2,12,3,315.5,490.0,27.973822,29.405868,-2.329349,-0.326583,2.352132,3,3,0.8387,detected
0.2,13,0,1012.0,126.0,55.634789,31.848326,0.744246,-0.221619,0.776542,0,0,0.6232,detected
0.2,14,4,702.5,1080.0,16.716701,15.465874,0.352458,-0.736664,0.81664,4,5,0.7902,detected
0.2,15,3,51.5,436.0,28.371735,34.771786,-0.175417,-0.222018,0.282954,3,3,0.5754,detected
0.2,16,0,1174.5,77.0,63.127773,30.87295,-0.749493,-0.107828,0.757209,0,0,0.6839,detected
0.2,17,3,141.0,418.0,29.640336,34.286135,0.0,0.0,0.0,3,3,0.4214,detected
0.2,18,0,1341.0,46.0,69.334563,28.523962,0.744342,0.340336,0.818458,0,0,0.4854,detected
0.4,1,4,266.5,1080.0,15.158906,18.967535,-0.377305,0.967455,1.038425,4,4,0.8717,detected
0.4,2,5,1660.5,888.0,23.802895,8.757359,-1.385248,-0.338565,1.426022,5,5,0.8721,detected
0.4,3,0,923.0,228.0,45.62457,28.84085,0.583839,-0.30421,0.65834,0,0,0.8667,detected
0.4,4,2,1681.5,277.0,47.776313,14.152648,1.760661,0.459858,1.819724,2,2,0.9077,detected
0.4,5,3,768.5,405.0,34.158026,25.41634,0.435459,-0.700502,0.82482,3,3,0.8996,detected
0.4,6,4,851.0,416.0,34.162908,23.927413,1.11154,-0.334153,1.160681,4,4,0.8548,detected
0.4,7,4,897.5,642.0,26.385137,18.829338,-2.124353,-0.086225,2.126102,4,4,0.9155,detected
0.4,8,5,1650.0,1080.0,20.274226,8.034675,0.022554,-0.117201,0.119352,5,5,0.3022,detected
0.4,9,1,1499.5,184.0,54.158124,19.486616,0.855916,-0.154956,0.86983,1,1,0.8698,detected
0.4,10,2,1842.0,340.0,44.436565,10.834314,4.799077,0.523852,4.827583,2,2,0.6801,detected
0.4,11,1,1402.5,118.0,60.251858,23.701161,3.791043,-0.394794,3.811545,1,1,0.8311,detected
0.4,12,3,297.5,498.0,27.584565,29.407804,-2.137817,-0.15845,2.143681,3,3,0.7299,detected
0.4,13,0,1019.5,125.0,55.811203,31.738092,0.813158,-0.386393,0.900292,0,0,0.7748,detected
0.4,14,4,721.0,1080.0,16.787196,15.31864,0.352468,-0.736416,0.816421,4,5,0.7082,detected
0.4,15,3,51.0,435.0,28.406818,34.81619,0.0,0.0,0.0,3,3,0.5652,detected
0.4,16,0,1171.5,79.0,62.829734,30.830062,-1.119843,-0.161135,1.131377,0,0,0.7306,detected
0.4,17,3,141.0,418.0,29.640336,34.286135,0.0,0.0,0.0,3,3,0.4826,detected
0.4,18,0,1340.0,45.0,69.478915,28.605097,0.73305,0.373006,0.822494,0,0,0.5183,detected
0.4,19,3,351.0,411.0,31.287214,31.499888,0.0,0.0,0.0,3,3,0.7971,detected
0.4,21,5,1816.0,712.0,28.808559,8.25066,0.0,0.0,0.0,5,5,0.542,detected
0.6,1,4,232.0,1080.0,15.055456,19.24517,-0.423952,1.107694,1.186053,4,4,0.9172,detected
0.6,2,5,1665.5,907.0,23.432044,8.623157,-1.541584,-0.44938,1.605747,5,5,0.874,detected
0.6,3,0,932.5,223.0,46.079172,28.869776,1.146896,-0.154596,1.157269,0,0,0.6748,detected
0.6,4,2,1680.5,271.0,48.205783,14.272129,1.889557,0.505707,1.956058,2,2,0.9062,detected
0.6,5,3,782.5,392.0,34.848302,25.576918,1.440767,-0.199372,1.454496,3,3,0.8867,detected
0.6,6,4,865.0,407.0,34.657348,23.959053,1.565093,-0.170035,1.574303,4,1,0.8842,detected
0.6,7,4,877.5,650.0,26.060281,18.926735,-1.95766,0.104843,1.960466,4,4,0.9244,detected
0.6,9,1,1502.5,177.0,54.849855,19.626628,1.723495,0.13005,1.728394,1,1,0.8467,detected
0.6,10,2,1852.5,334.0,44.848902,10.757295,3.886613,0.22087,3.892884,2,2,0.5476,detected
0.6,11,1,1421.0,109.0,61.496856,23.646518,4.602359,-0.354266,4.615974,1,1,0.4383,detected
0.6,12,3,270.0,506.0,27.146311,29.534693,-2.155634,0.105848,2.158231,3,3,0.7902,detected
0.6,13,0,1027.5,120.0,56.435992,31.834004,1.583421,-0.097742,1.586434,0,0,0.8217,detected
0.6,14,4,741.0,1080.0,16.863375,15.159569,0.361944,-0.756063,0.838233,4,5,0.8945,detected
0.6,15,3,51.5,436.0,28.371735,34.771786,-0.058472,-0.074006,0.094318,3,3,0.5565,detected
0.6,16,0,1166.5,82.0,62.381937,30.778122,-1.49289,-0.19399,1.505441,0,0,0.6526,detected
0.6,17,3,141.0,419.0,29.599715,34.247564,-0.067703,-0.064285,0.093361,3,3,0.4777,detected
0.6,18,0,1341.0,44.0,69.644485,28.635344,0.76465,0.299082,0.82106,0,0,0.4284,detected
0.6,19,3,364.5,411.0,31.373813,31.296153,0.432993,-1.018676,1.10688,3,3,0.817,detected
0.6,21,5,1808.0,727.0,28.351024,8.247436,-2.287672,-0.016122,2.287729,5,5,0.427,detected
0.8,1,4,194.0,1080.0,14.946702,19.550191,-0.453907,1.212046,1.294252,4,4,0.915,detected
0.8,2,5,1672.5,936.0,22.884798,8.432466,-1.840245,-0.575398,1.928104,5,5,0.9327,detected
0.8,3,0,946.0,218.0,46.57163,28.824247,1.475745,-0.172858,1.485834,0,0,0.8749,detected
0.8,4,2,1678.5,266.0,48.562144,14.392745,1.862619,0.53005,1.93657,2,2,0.8953,detected
0.8,5,3,799.0,385.0,35.284739,25.531164,1.626122,-0.206721,1.639209,3,0,0.8812,detected
0.8,6,4,879.0,401.0,35.021577,23.912862,1.629107,-0.185266,1.639607,4,1,0.8717,detected
0.8,7,4,859.5,670.0,25.42483,18.816727,-2.26256,-0.058877,2.263326,4,4,0.9124,detected
0.8,9,1,1503.5,172.0,55.344049,19.751411,1.910364,0.253515,1.927112,1,1,0.8373,detected
0.8,10,2,1862.0,335.0,44.827421,10.615178,2.888108,-0.011993,2.888133,2,2,0.3504,detected
0.8,11,1,1439.0,96.0,63.277253,23.763197,4.998886,-0.10553,5.0,1,1,0.53,detected
0.8,12,3,242.0,522.0,26.448322,29.426344,-2.489212,-0.05605,2.489843,3,3,0.8212,detected
0.8,13,0,1036.0,117.0,56.850438,31.8102,1.705623,-0.103062,1.708734,0,0,0.8269,detected
0.8,14,4,762.5,1080.0,16.94519,14.98867,0.373727,-0.780671,0.865516,4,5,0.7128,detected
0.8,15,3,51.5,435.0,28.409866,34.809902,0.00381,-0.00786,0.008735,3,3,0.5091,detected
0.8,16,0,1162.5,87.0,61.690875,30.591656,-1.983495,-0.378575,2.0193,0,0,0.2626,detected
0.8,17,3,141.0,419.0,29.599715,34.247564,-0.050777,-0.048214,0.07002,3,3,0.2884,detected
0.8,18,0,1343.0,41.0,70.134805,28.75258,1.186387,0.370856,1.243,0,0,0.5629,detected
0.8,19,3,379.0,403.0,31.815543,31.361674,1.320823,-0.345535,1.365272,3,3,0.7395,detected
0.8,21,5,1800.0,768.0,27.220601,8.116619,-3.969894,-0.335103,3.984012,5,5,0.7047,detected
1.0,1,4,152.5,1080.0,14.834423,19.882026,-0.475405,1.301473,1.385583,4,3,0.8639,detected
1.0,2,5,1678.0,964.0,22.37465,8.267964,-1.982344,-0.624821,2.078483,5,5,0.9141,detected
1.0,3,0,958.5,213.0,47.064475,28.797239,1.673441,-0.165295,1.681585,0,0,0.7057,detected
1.0,4,2,1678.0,258.0,49.159197,14.543691,2.087148,0.574986,2.164901,2,2,0.8986,detected
1.0,5,3,816.0,379.0,35.682462,25.44854,1.698619,-0.248002,1.716628,0,0,0.8996,detected
1.0,6,4,892.0,389.0,35.671933,24.039606,1.95364,-0.021468,1.953758,1,1,0.9109,detected
1.0,7,4,840.5,690.0,24.805439,18.720943,-2.429439,-0.142885,2.433637,4,4,0.8924,detected
1.0,9,1,1508.5,165.0,56.078608,19.85688,2.26285,0.308281,2.283753,1,1,0.857,detected
1.0,11,1,1456.5,84.0,64.997072,23.85403,4.999998,-0.004031,5.0,1,1,0.2839,detected
1.0,12,3,211.5,535.0,25.855776,29.436658,-2.583916,-0.034526,2.584147,3,3,0.8499,detected
1.0,13,0,1042.0,115.0,57.132505,31.786814,1.646565,-0.105836,1.649963,0,0,0.8361,detected
1.0,14,4,786.5,1080.0,17.036376,14.798004,0.390167,-0.815203,0.903762,5,5,0.7338,detected
1.0,15,3,51.5,436.0,28.371735,34.771786,-0.035083,-0.044404,0.056591,3,3,0.4947,detected
1.0,16,0,1156.5,92.0,60.993125,30.454984,-2.284547,-0.439532,2.326444,0,0,0.8435,detected
1.0,18,0,1345.5,39.0,70.476966,28.801289,1.291271,0.345394,1.336667,0,0,0.6035,detected
1.0,19,3,395.0,392.0,32.410596,31.514165,1.872304,0.023795,1.872455,3,3,0.7927,detected
1.0,21,5,1790.0,800.0,26.372933,8.054272,-4.059375,-0.327314,4.07255,5,5,0.7718,detected
1.2,1,4,108.5,1079.0,14.734708,20.244063,-0.500151,1.430521,1.515434,4,3,0.8619,detected
1.2,2,5,1684.0,978.0,22.141759,8.163553,-2.210861,-0.738058,2.330802,5,5,0.9153,detected
1.2,3,0,969.0,208.0,47.549849,28.808114,1.988886,-0.190283,1.997967,0,0,0.8335,detected
1.2,4,2,1678.0,253.0,49.541044,14.634473,2.334466,0.61638,2.414468,2,2,0.8817,detected
1.2,5,3,831.0,368.0,36.324008,25.541284,2.278949,-0.008404,2.278964,0,0,0.8726,detected
1.2,6,1,907.0,383.0,36.057744,23.978512,2.25796,0.109023,2.26059,1,1,0.9204,detected
1.2,7,4,821.5,699.0,24.48214,18.789457,-2.368898,-0.03614,2.369174,4,4,0.9206,detected
1.2,9,1,1513.5,160.0,56.624628,19.904616,2.772268,0.443662,2.807544,1,1,0.8304,detected
1.2,11,1,1474.5,83.0,65.28793,23.471618,4.993974,-0.245411,5.0,1,1,0.2194,detected
1.2,12,3,186.0,551.0,25.216665,29.29586,-2.757157,-0.110007,2.759351,3,3,0.8819,detected
1.2,13,0,1047.5,110.0,57.758681,31.941437,2.123892,0.093111,2.125932,0,0,0.8272,detected
1.2,14,5,811.0,1079.0,17.143683,14.611968,0.426982,-0.853905,0.954708,5,5,0.3165,detected
1.2,15,3,51.5,436.0,28.371735,34.771786,0.0,0.0,0.0,3,3,0.5167,detected
1.2,16,0,1151.0,94.0,60.68689,30.472406,-2.440883,-0.400544,2.473529,0,0,0.8853,detected
1.2,18,0,1348.5,35.0,71.148727,28.952096,1.814164,0.428134,1.863999,0,0,0.5099,detected
1.2,19,3,417.0,387.0,32.781811,31.354131,1.868246,-0.182196,1.87711,3,3,0.892,detected
1.2,21,5,1782.5,800.0,26.338411,8.119637,-3.087684,-0.163779,3.092025,5,5,0.2695,detected
1.2,29,5,1902.5,1049.0,21.867461,6.41312,0.0,0.0,0.0,5,5,0.1656,detected
1.4,1,4,65.0,1080.0,14.620739,20.575538,-0.538166,1.608003,1.69567,4,3,0.7834,detected
1.4,2,5,1692.0,984.0,22.066721,8.077718,-1.736173,-0.679641,1.86446,5,5,0.9158,detected
1.4,3,0,978.5,205.0,47.870119,28.753731,2.245549,-0.087119,2.247238,0,0,0.8485,detected
1.4,4,2,1679.5,246.0,50.093625,14.737978,2.317312,0.58533,2.390093,2,2,0.9144,detected
1.4,5,0,846.5,362.0,36.728019,25.480682,2.569993,0.064342,2.570799,0,0,0.9051,detected
1.4,6,1,922.5,372.0,36.703439,24.044566,2.54053,0.117152,2.54323,1,1,0.898,detected
1.4,7,4,798.5,718.0,23.89681,18.75229,-2.488326,-0.077048,2.489519,4,4,0.9171,detected
1.4,9,1,1518.5,155.0,57.1789,19.953134,3.020776,0.466518,3.056587,1,1,0.8135,detected
1.4,12,3,152.0,560.0,24.762543,29.454678,-2.822022,0.046873,2.822411,3,3,0.8645,detected
1.4,13,0,1054.5,107.0,58.174854,31.951928,2.363651,0.213836,2.373304,0,0,0.8457,detected
1.4,14,5,829.0,1079.0,17.211816,14.468987,0.42462,-0.849653,0.949848,5,5,0.2173,detected
1.4,15,3,52.0,435.0,28.412915,34.803611,0.006097,-0.012579,0.013979,3,3,0.4269,detected
1.4,16,0,1144.0,99.0,59.998127,30.361412,-2.831607,-0.46865,2.870127,0,0,0.8639,detected
1.4,17,3,140.0,419.0,29.593322,34.261247,-0.047014,-0.024887,0.053195,3,3,0.2835,detected
1.4,18,0,1351.5,31.0,71.831354,29.10534,2.35244,0.500243,2.405039,0,0,0.4515,detected
1.4,19,3,436.0,376.0,33.419671,31.460551,2.132457,-0.039337,2.13282,3,3,0.8459,detected
1.4,21,5,1771.0,824.0,25.712676,8.108745,-3.095882,-0.141916,3.099133,5,5,0.6934,detected
1.4,28,4,808.0,1036.0,17.771599,15.013683,0.0,0.0,0.0,4,4,0.2726,detected
1.4,29,5,1902.5,1047.0,21.9006,6.417332,0.165698,0.02106,0.167031,5,5,0.1774,detected
1.4,31,5,852.0,1078.0,17.313209,14.294641,0.0,0.0,0.0,5,5,0.5232,detected
1.6,1,4,29.5,1080.0,14.543107,20.853865,-0.512349,1.608695,1.688313,4,3,0.5706,detected
1.6,2,5,1699.0,1015.0,21.548108,7.907737,-1.883936,-0.715419,2.015202,5,5,0.9237,detected
1.6,3,0,988.5,203.0,48.114529,28.647144,2.035356,-0.222632,2.047496,0,0,0.8117,detected
1.6,4,2,1682.0,238.0,50.742926,14.845218,2.537143,0.573089,2.601062,2,2,0.9057,detected
1.6,5,0,862.5,350.0,37.457284,25.590909,2.608982,0.013991,2.60902,0,0,0.8896,detected
1.6,6,1,937.0,365.0,37.153489,24.017579,2.496141,0.058525,2.496827,1,1,0.8894,detected
1.6,7,4,776.0,731.0,23.473494,18.797176,-2.586787,-0.129559,2.59003,4,4,0.9187,detected
1.6,9,1,1521.0,149.0,57.82725,20.085006,2.977395,0.458378,3.012473,1,1,0.7938,detected
1.6,12,3,123.5,577.0,24.118735,29.317859,-3.027576,-0.216834,3.035331,3,3,0.873,detected
1.6,13,0,1060.5,105.0,58.467602,31.928762,2.03161,0.094757,2.033819,0,0,0.8105,detected
1.6,14,5,847.5,1079.0,17.281686,14.322061,0.418311,-0.837508,0.936165,5,5,0.2471,detected
1.6,15,3,50.5,436.0,28.365649,34.78435,-0.006085,0.012563,0.01396,3,3,0.2318,detected
1.6,16,0,1135.0,102.0,59.544133,30.404636,-2.837804,-0.373486,2.862276,0,0,0.8347,detected
1.6,17,3,141.0,419.0,29.599715,34.247564,0.0,0.0,0.0,3,3,0.3082,detected
1.6,18,0,1352.5,30.0,72.006296,29.13742,2.361812,0.502076,2.414588,0,0,0.5414,detected
1.6,19,3,453.0,370.0,33.817876,31.413167,2.444064,0.117014,2.446863,3,3,0.8737,detected
1.6,21,5,1760.0,833.0,25.453643,8.162217,-2.897381,-0.085219,2.898634,5,5,0.7254,detected
1.6,28,4,818.0,991.0,18.523088,15.349344,3.757443,1.678304,4.115226,4,4,0.3002,detected
1.6,29,5,1902.5,1063.0,21.63825,6.384202,-0.573026,-0.072295,0.577569,5,5,0.1856,detected
1.6,31,5,864.0,1079.0,17.34386,14.191032,0.153254,-0.518043,0.540237,5,5,0.6968,detected
1.8,1,3,-18.5,1100.0,14.226288,20.976757,-0.720414,1.426566,1.598152,4,3,0.5706,predicted
1.8,2,5,1701.0,1020.0,21.470526,7.874813,-1.414272,-0.557653,1.520244,5,5,0.8979,detected
1.8,3,0,1002.5,199.0,48.560696,28.547767,1.989066,-0.276481,2.008189,0,0,0.8824,detected
1.8,4,2,1682.5,233.0,51.149753,14.932142,2.587609,0.539397,2.643231,2,2,0.8909,detected
1.8,5,0,878.5,343.0,37.936583,25.552338,2.651844,0.021174,2.651928,0,0,0.8939,detected
1.8,6,1,949.0,354.0,37.806671,24.139702,2.785093,0.22684,2.794316,1,1,0.9237,detected
1.8,7,4,755.0,754.0,22.834208,18.683684,-2.590621,-0.133043,2.594035,4,4,0.9006,detected
1.8,9,1,1525.0,145.0,58.285061,20.125665,2.941012,0.374255,2.964729,1,1,0.8199,detected
1.8,12,3,88.5,588.0,23.634262,29.418622,-2.81406,-0.007722,2.814071,3,3,0.8418,detected
1.8,13,0,1067.0,100.0,59.12838,32.064852,2.277942,0.254652,2.292132,0,0,0.8612,detected
1.8,15,3,50.5,436.0,28.365649,34.78435,-0.044217,-0.025552,0.051069,3,3,0.2318,predicted
1.8,16,0,1127.0,107.0,58.866868,30.318343,-2.824007,-0.273313,2.837202,0,0,0.8639,detected
1.8,17,3,141.5,418.0,29.643538,34.279283,0.043823,0.031719,0.054098,3,3,0.3892,detected
1.8,18,0,1353.5,28.0,72.348037,29.228554,2.213232,0.475974,2.263835,0,0,0.4039,detected
1.8,19,3,469.5,365.0,34.168919,31.335239,2.353376,-0.026435,2.353525,3,3,0.8849,detected
1.8,21,5,1746.5,840.0,25.232217,8.246048,-1.988384,0.129429,1.992592,5,5,0.7378,detected
1.8,29,5,1902.5,1075.0,21.445574,6.360192,-0.703144,-0.088214,0.708656,5,5,0.1993,detected
1.8,31,5,876.0,1079.0,17.388988,14.095742,0.189447,-0.497246,0.532113,5,5,0.7574,detected
1.8,33,1,1712.0,26.0,74.912628,19.870127,0.0,0.0,0.0,1,1,0.197,detected
2.0,2,5,1701.0,1015.0,21.556612,7.892818,-0.818038,-0.375147,0.899956,5,5,0.8855,detected
2.0,3,0,1017.5,195.0,49.021302,28.428126,1.956827,-0.369113,1.991335,0,0,0.6696,detected
2.0,4,2,1681.5,225.0,51.802229,15.105817,2.643032,0.562127,2.702148,2,2,0.9069,detected
2.0,5,0,895.5,337.0,38.375993,25.467147,2.693531,0.018607,2.693595,0,0,0.8945,detected
2.0,6,1,963.5,348.0,38.223185,24.085141,2.551252,0.045534,2.551659,1,1,0.8986,detected
2.0,7,4,734.5,771.0,22.352374,18.652019,-2.453065,-0.068924,2.454033,4,4,0.8903,detected
2.0,9,1,1531.5,139.0,58.986155,20.17711,2.907547,0.32023,2.925129,1,1,0.8373,detected
2.0,12,3,58.5,601.0,23.136222,29.401662,-2.719554,-0.034996,2.719779,3,3,0.8999,detected
2.0,13,0,1072.5,98.0,59.424108,32.053362,2.291603,0.266548,2.307053,0,0,0.8853,detected
2.0,14,5,885.5,1049.0,17.872662,14.269527,0.836286,-0.528477,0.989273,5,5,0.8778,detected
2.0,15,3,49.5,435.0,28.397676,34.835038,0.025942,0.063251,0.068364,3,3,0.4371,detected
2.0,16,0,1119.5,110.0,58.440667,30.32765,-2.552458,-0.127334,2.555632,0,0,0.8393,detected
2.0,17,3,141.0,419.0,29.599715,34.247564,0.010655,-0.022806,0.025172,3,3,0.469,detected
2.0,18,0,1354.5,26.0,72.692606,29.320447,2.21564,0.519158,2.275651,0,0,0.3168,detected
2.0,19,3,485.0,353.0,34.86845,31.538821,2.457854,0.024656,2.457977,0,3,0.8809,detected
2.0,21,5,1732.0,856.0,24.807644,8.296494,-1.56529,0.242222,1.58392,5,5,0.7913,detected
2.0,29,5,1902.0,1079.0,21.379864,6.355392,-0.609495,-0.072161,0.613752,5,5,0.2056,detected
2.0,33,1,1704.5,28.0,74.590043,19.985618,-1.612926,0.577452,1.713179,1,1,0.3611,detected
2.2,2,5,1707.0,972.0,22.350344,8.008489,0.208585,-0.155065,0.259909,5,5,0.7038,detected
2.2,3,0,1028.5,193.0,49.282691,28.300105,1.732842,-0.508009,1.805772,0,0,0.8697,detected
2.2,4,2,1682.0,221.0,52.140057,15.176382,2.599012,0.541909,2.654907,2,2,0.9071,detected
2.2,5,0,911.0,328.0,38.981648,25.496907,2.657639,-0.044377,2.65801,0,0,0.9,detected
2.2,6,1,978.5,338.0,38.870961,24.135758,2.813217,0.157246,2.817608,1,1,0.9297,detected
2.2,7,4,714.5,781.0,22.036992,18.712457,-2.445149,-0.077,2.446361,4,4,0.9161,detected
2.2,9,1,1539.0,135.0,59.485113,20.144698,2.860485,0.240082,2.870542,1,1,0.8256,detected
2.2,12,3,38.0,611.0,22.777107,29.35806,-2.439558,0.0622,2.440351,3,3,0.5753,detected
2.2,13,0,1079.0,96.0,59.73185,32.018749,1.973169,0.077312,1.974683,0,0,0.1901,detected
2.2,14,5,902.0,1037.0,18.120643,14.237418,0.97696,-0.374551,1.046298,5,5,0.9166,detected
2.2,15,3,51.0,435.0,28.406818,34.81619,0.035083,0.044404,0.056591,3,3,0.6133,detected
2.2,16,0,1109.0,114.0,57.875207,30.351013,-2.811683,-0.121393,2.814302,0,0,0.8737,detected
2.2,17,3,141.0,418.0,29.640336,34.286135,0.058768,0.031109,0.066494,3,3,0.524,detected
2.2,18,0,1356.0,23.0,73.214834,29.459731,2.066107,0.507635,2.127555,0,0,0.2272,detected
2.2,19,3,506.5,346.0,35.368243,31.454093,2.586432,0.099962,2.588363,0,0,0.885,detected
2.2,21,5,1713.5,952.0,22.753322,8.036451,-3.585089,-0.083186,3.586054,5,5,0.8971,detected
2.2,29,5,1902.0,1080.0,21.364059,6.353439,-0.503402,-0.059681,0.506927,5,5,0.2774,detected
2.2,33,1,1700.0,30.0,74.269811,20.024754,-1.607042,0.386568,1.652882,1,1,0.2915,detected
2.4,3,0,1037.5,188.0,49.791741,28.337709,1.921623,-0.416022,1.96614,0,0,0.84,detected
2.4,4,2,1683.5,216.0,52.572867,15.250062,2.479242,0.512085,2.531575,2,2,0.9104,detected
2.4,5,0,926.0,323.0,39.367349,25.411459,2.63933,-0.069224,2.640238,0,0,0.8845,detected
2.4,6,1,992.5,332.0,39.301697,24.088269,2.598258,0.043703,2.598626,1,1,0.8836,detected
2.4,7,4,691.5,803.0,21.457004,18.637356,-2.439806,-0.114935,2.442512,4,4,0.9218,detected
2.4,11,1,1551.5,108.0,62.716557,20.762355,0.0,0.0,0.0,1,1,0.8906,detected
2.4,12,3,3.0,625.0,22.263574,29.361353,-2.498969,-0.093324,2.500711,3,3,0.5753,predicted
2.4,13,0,1088.0,108.0,58.374093,31.141032,0.199239,-0.810896,0.835014,0,0,0.3388,detected
2.4,14,5,919.0,1009.0,18.630635,14.33939,1.418819,-0.129598,1.424726,5,5,0.8745,detected
2.4,15,3,51.0,436.0,28.368692,34.778069,-0.044224,-0.025542,0.051069,3,3,0.6138,detected
2.4,16,0,1098.5,118.0,57.318353,30.374083,-2.679774,0.012671,2.679804,0,0,0.2338,detected
2.4,17,3,141.0,418.0,29.640336,34.286135,0.047014,0.024887,0.053195,3,3,0.4654,detected
2.4,18,0,1357.0,20.0,73.738509,29.614332,1.907155,0.508992,1.973908,0,0,0.2348,detected
2.4,19,3,522.0,338.0,35.889018,31.507007,2.469347,0.046455,2.469784,0,0,0.8901,detected
2.4,21,5,1698.5,1017.0,21.511474,7.904212,-4.201202,-0.204533,4.206178,5,5,0.8812,detected
2.4,28,4,878.5,892.0,20.516036,15.817694,0.0,0.0,0.0,4,4,0.1859,detected
2.4,29,5,1902.0,1079.0,21.379864,6.355392,-0.520736,-0.06194,0.524407,5,5,0.2193,detected
2.4,33,1,1697.0,32.0,73.952377,20.025875,-1.600419,0.25958,1.621334,1,1,0.2872,detected
2.6,3,0,1046.5,184.0,50.220249,28.332996,2.10572,-0.314147,2.129024,0,0,0.8335,detected
2.6,4,2,1685.5,209.0,53.188512,15.35692,2.445585,0.511703,2.498545,2,2,0.9108,detected
2.6,5,0,940.0,310.0,40.224075,25.592086,2.76679,0.001178,2.766791,0,0,0.9114,detected
2.6,6,1,1003.5,324.0,39.834687,24.145719,2.681197,0.12814,2.684258,1,1,0.9135,detected
2.6,7,4,668.5,822.0,20.956538,18.604521,-2.516956,-0.192654,2.524318,4,4,0.9239,detected
2.6,9,1,1549.0,126.0,60.574796,20.218365,2.747546,0.133359,2.750781,1,1,0.905,detected
2.6,14,5,938.0,990.0,19.017171,14.347919,1.735485,0.025858,1.735677,5,5,0.908,detected
2.6,15,3,51.0,436.0,28.368692,34.778069,0.003042,-0.00628,0.006978,3,3,0.6161,detected
2.6,16,0,1088.0,123.0,56.658561,30.345213,-2.885572,-0.059423,2.886184,0,0,0.7165,detected
2.6,17,3,141.0,418.0,29.640336,34.286135,0.040622,0.038571,0.056016,3,3,0.4759,detected
2.6,18,0,1356.0,18.0,74.074315,29.763916,2.068018,0.626496,2.160833,0,0,0.1663,detected
2.6,19,3,535.0,332.0,36.29533,31.524217,2.477454,0.111051,2.479942,0,0,0.8525,detected
2.6,21,5,1686.0,1051.0,20.887843,7.875567,-4.5658,-0.28665,4.574789,5,5,0.8556,detected
